(('n2@313|9', (1, 457)), '-')
(('n2@312|5', (1, 456)), '-')
(('n2@302|5', (1, 455)), '-')
(('n2@301|5', (1, 454)), '-')
(('n2@300|5', (1, 453)), '+')
(('n2@299|5', (1, 452)), '+')
(('n2@327|7', (1, 451)), '-')
(('n2@326|7', (1, 450)), '+')
(('n2@322|11', (1, 449)), '+')
(('n2@321|7', (1, 448)), '-')
(('n2@317|7', (1, 447)), '+')
(('n2@316|7', (1, 446)), '+')
(('n2@315|7', (1, 445)), '+')
(('n2@314|7', (1, 444)), '-')
(('n2@313|11', (1, 443)), '-')
(('n2@312|7', (1, 442)), '-')
(('n2@302|7', (1, 441)), '-')
(('n2@301|7', (1, 440)), '-')
(('n2@300|7', (1, 439)), '+')
(('n2@299|7', (1, 438)), '+')
(('n2@502|3', (1, 437)), '-')
(('n2@405|7', (1, 436)), '-')
(('n2@322|9', (1, 435)), '-')
(('n2@323|9', (1, 434)), '-')
(('n2@322|7', (1, 433)), '-')
(('n2@323|7', (1, 432)), '-')
(('n2@324|5', (1, 431)), '+')
(('n2@325|5', (1, 430)), '-')
(('n2@326|5', (1, 429)), '-')
(('n2@327|5', (1, 428)), '+')
(('n2@328|3', (1, 427)), '-')
(('n2@329|3', (1, 426)), '+')
(('n2@330|7', (1, 425)), '+')
(('n2@331|5', (1, 424)), '-')
(('n2@332|5', (1, 423)), '-')
(('n2@333|5', (1, 422)), '-')
(('n2@334|5', (1, 421)), '-')
(('n2@335|5', (1, 420)), '-')
(('n2@336|5', (1, 419)), '-')
(('n2@337|5', (1, 418)), '-')
(('n2@347|5', (1, 417)), '-')
(('n2@346|5', (1, 416)), '-')
(('n2@345|7', (1, 415)), '+')
(('n2@330|5', (1, 414)), '+')
(('n2@454|13', (1, 413)), '-')
(('n2@273|5', (1, 412)), '-')
(('n2@454|12', (1, 411)), '-')
(('n2@273|4', (1, 410)), '-')
(('n2@150|15', (1, 409)), '+')
(('n2@268|5', (1, 408)), '-')
(('n2@25|5', (1, 407)), '+')
(('n2@25|4', (1, 406)), '-')
